TimeT,AccT
0.602,-49.9143733333333
0.606,-51.8773033333333
0.611,-51.8773033333333
0.615,-51.8773033333333
0.619,-51.8773033333333
0.624,-51.8773033333333
0.628,-45.0070633333333
0.633,-45.0070633333333
0.637,-45.0070633333333
0.642,-45.0070633333333
0.646,-51.8773033333333
0.651,-51.8773033333333
0.655,-51.8773033333333
0.66,-51.8773033333333
0.664,-55.8031533333333
0.669,-55.8031533333333
0.673,-55.8031533333333
0.678,-55.8031533333333
0.682,-55.8031533333333
0.687,-56.7846133333333
0.691,-56.7846133333333
0.696,-56.7846133333333
0.7,-56.7846133333333
0.705,-58.7475333333333
0.709,-58.7475333333333
0.714,-58.7475333333333
0.718,-58.7475333333333
0.723,-58.7475333333333
0.727,-58.7475333333333
0.732,-58.7475333333333
0.736,-58.7475333333333
0.741,-58.7475333333333
0.745,-58.7475333333333
0.75,-58.7475333333333
0.754,-58.7475333333333
0.759,-58.7475333333333
0.763,-54.8216833333333
0.768,-54.8216833333333
0.772,-54.8216833333333
0.777,-54.8216833333333
